               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065427,            0.071318,            0.039782,             0.29577,            0.054592,            0.015992,           0.0039073,            0.070877,            0.034467,            0.060917,           0.0033271,           0.0033271,            0.070056
                   1,            0.063514,            0.073986,            0.033451,             0.26036,             0.15557,             0.10621,            0.035439,            0.059788,            0.030875,            0.036266,           0.0066458,           0.0066458,            0.040042
                   2,               0.062,            0.073633,            0.030876,             0.14651,              0.2185,              0.1014,            0.033498,            0.059673,              0.0311,            0.037995,           0.0099064,           0.0099064,           0.0099689
                   3,            0.060843,            0.072699,            0.030005,             0.36466,             0.16052,            0.096464,            0.031604,            0.056314,            0.027292,            0.042477,           0.0098042,           0.0098042,           0.0098042
                   4,            0.060615,            0.073037,            0.029838,             0.14327,             0.12331,             0.05973,              0.0219,            0.062982,             0.02866,            0.055713,           0.0098042,           0.0098042,           0.0098042
                   5,            0.059783,            0.072892,            0.029184,             0.20696,             0.22551,             0.14105,            0.053979,            0.054935,            0.026156,            0.036766,           0.0096542,           0.0096542,           0.0096542
                   6,            0.059746,            0.072026,            0.029308,             0.19225,             0.25136,              0.1497,            0.054258,            0.053563,            0.026514,             0.03501,           0.0094641,           0.0094641,           0.0094641
                   7,            0.059347,            0.072274,            0.028599,              0.1631,             0.21048,             0.11412,            0.041601,            0.054836,            0.028555,            0.046468,           0.0092361,           0.0092361,           0.0092361
                   8,            0.059172,            0.072533,            0.028331,              0.3309,             0.18168,              0.1439,            0.053165,            0.054793,            0.025824,            0.032589,           0.0089726,           0.0089726,           0.0089726
                   9,            0.059074,            0.070982,            0.028633,             0.22434,             0.27982,             0.17798,            0.067386,            0.051665,            0.025721,            0.029383,           0.0086765,           0.0086765,           0.0086765
                  10,            0.058559,            0.071818,            0.027062,              0.2775,             0.25087,             0.20227,            0.076658,            0.050698,            0.025967,            0.032341,           0.0083511,           0.0083511,           0.0083511
                  11,            0.058108,            0.071415,            0.026843,             0.31464,               0.345,             0.26768,             0.10529,            0.049937,            0.025843,            0.028415,               0.008,               0.008,               0.008
                  12,            0.057715,            0.071795,             0.02593,             0.29585,             0.31956,             0.24309,            0.096226,            0.048859,            0.025321,            0.028383,           0.0076269,           0.0076269,           0.0076269
                  13,            0.057576,            0.071506,            0.025802,              0.2776,             0.33532,             0.23542,            0.093559,            0.048776,            0.025484,            0.032375,           0.0072361,           0.0072361,           0.0072361
                  14,            0.056808,            0.071204,            0.025157,             0.32132,             0.33619,             0.26472,             0.11024,            0.047733,            0.024735,            0.027054,           0.0068316,           0.0068316,           0.0068316
                  15,            0.056609,            0.071473,            0.024714,             0.34518,             0.35275,             0.29278,             0.12301,            0.046615,            0.024772,            0.024963,           0.0064181,           0.0064181,           0.0064181
                  16,             0.05632,            0.072431,            0.023699,             0.34642,             0.41432,             0.32772,             0.14127,            0.046224,            0.024689,            0.024334,               0.006,               0.006,               0.006
                  17,            0.055581,             0.07057,            0.023705,             0.36855,             0.40449,             0.34889,             0.15025,            0.045337,            0.024083,            0.022664,           0.0055819,           0.0055819,           0.0055819
                  18,            0.055059,            0.069703,            0.023218,             0.43792,             0.39751,             0.37179,             0.16407,            0.044813,            0.024377,            0.022627,           0.0051684,           0.0051684,           0.0051684
                  19,            0.054509,            0.069623,            0.022296,             0.40135,              0.3843,             0.34884,             0.15807,            0.044599,            0.024196,             0.02063,           0.0047639,           0.0047639,           0.0047639
                  20,            0.053877,             0.06923,            0.022058,             0.42305,             0.43085,             0.39071,             0.17649,              0.0442,            0.023467,            0.021492,           0.0043731,           0.0043731,           0.0043731
                  21,             0.05327,            0.067852,            0.021277,             0.40896,             0.46932,             0.41023,              0.1875,            0.043345,            0.023714,            0.020255,               0.004,               0.004,               0.004
                  22,            0.052787,            0.067525,            0.020697,             0.44611,             0.45482,              0.4163,             0.19333,            0.042769,              0.0231,            0.018156,           0.0036489,           0.0036489,           0.0036489
                  23,            0.051999,             0.06686,            0.020361,             0.46015,             0.47395,             0.44489,             0.20802,            0.042308,             0.02325,            0.017637,           0.0033235,           0.0033235,           0.0033235
                  24,            0.051727,            0.068578,            0.019171,             0.49761,             0.47214,             0.46483,             0.22204,            0.041681,            0.022994,            0.017141,           0.0030274,           0.0030274,           0.0030274
                  25,            0.051296,            0.066676,            0.018781,              0.4758,              0.5003,              0.4706,             0.22983,            0.041127,            0.023021,            0.016429,           0.0027639,           0.0027639,           0.0027639
                  26,            0.050789,             0.06741,            0.018712,             0.50707,              0.5161,             0.49907,             0.24577,            0.040678,            0.022572,            0.016086,           0.0025359,           0.0025359,           0.0025359
                  27,            0.050288,            0.066896,            0.017642,             0.48752,             0.51694,              0.4892,             0.24117,            0.040575,            0.022559,            0.015673,           0.0023458,           0.0023458,           0.0023458
                  28,            0.050038,             0.06578,            0.017975,             0.52461,             0.49689,             0.50115,             0.24906,            0.040304,            0.022857,            0.015097,           0.0021958,           0.0021958,           0.0021958
                  29,            0.049696,            0.066021,            0.017256,             0.52952,             0.51478,             0.51299,             0.25718,            0.039942,            0.022292,            0.014824,           0.0020874,           0.0020874,           0.0020874
