filename,width,height,class,xmin,xmax,ymin,ymax
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,202,241,478,486
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,518,546,121,150
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,129,170,157,167
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Letters,109,575,229,317
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Letters,106,593,160,252
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,508,556,87,145
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Letters,184,540,505,543
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,188,231,159,175
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,496,551,372,383
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,542,582,172,182
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Letters,37,189,504,527
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,250,317,162,181
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,481,563,73,138
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,364,460,267,279
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Letters,115,576,201,275
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,296,335,485,494
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Letters,144,576,157,205
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,191,231,163,171
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Letters,130,545,318,365
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,62,110,139,167
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Letters,113,618,10,86
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Letters,129,546,277,322
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Lines,425,519,61,122
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Handwritting,494,525,615,639
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Letters,118,546,435,504
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Letters,110,614,47,155
AGN_DFS_C-184_Tecla_Parra_Violeta_pg-017_jpg.rf.3dbff9cd93a07e041cac2066996f2c1c.jpg,640,640,Letters,121,543,368,442
